وطاب من~25#248#18#23
ولا اختطاطا,~90#4471#31#486
ولا اختلاجوقال~82#2612#6#247
ولا اختيار~61#1701#105#182,87#3688#220#175
ولا اخذ~60#1666#159#464
ولا اخطار~82#2470#55#105
ولا ادرى~2#50#175#48
ولا ادعوا~87#3723#495#210
ولا ادعى~82#2320#142#407
ولا ادى~56#1587#101#90
ولا اذل~61#1705#14#192
ولا ارتعدت~90#4537#283#552
ولا ارتياب~27#334#10#32
ولا ارضى~37#516#134#125
ولا ازال~52#1539#215#53
ولا ازالها~52#1539#221#53
ولا استثناء~27#334#12#32
ولا استحسانها~87#3590#116#77
ولا استحقاق~87#3420#6#354
ولا استخبار~41#1225#131#314
ولا استريح~82#2430#17#65
ولا استشراف~82#2097#190#184,87#3558#53#45,87#3842#135#329,87#3979#231#466
ولا استشرافقوله~82#2282#213#369
ولا استضفت~86#3048#62#194
ولا استطاع~87#3284#405#218
ولا استطاعة~87#3684#182#171
ولا استعانةوقال~82#2299#179#386
ولا استغف~82#2137#33#224
ولا استفتي~87#3297#340#231
ولا استقباح~91#4582#116#14
ولا استكانة~87#3369#127#303,37#565#61#174
ولا استكشاف~82#2714#112#349
ولا استلام~87#3463#165#397
ولا استهل~87#3352#82#286
ولا استهلال~82#2071#171#158
ولا اسرافيل~26#325#98#14
ولا اسم~69#1802#121#17,90#4334#228#349
ولا اسمقال~41#1254#12#343
ولا اسمك~41#1159#29#248,90#4107#86#113
ولا اسمه~82#2588#224#223
ولا اشتغال~87#3901#192#388
ولا اشتغل~2#69#10#67
ولا اشتغلت~87#3142#206#76
ولا اشتفيت~87#3136#300#70
ولا اشد~67#1773#126#39,37#507#49#116
ولا اضطراب~82#2167#226#254
ولا اضطرابقال~82#2783#14#418
ولا اضطرابوقال~82#2783#240#418
ولا اضمر~39#807#214#128
ولا اضمرته~2#31#17#29
ولا اطلع~61#1691#65#163
ولا اعتذر~82#2640#285#275
ولا اعتراض~87#3374#396#308,87#3399#106#333
ولا اعتزال~50#1529#134#110
ولا اعتقاد~87#3747#136#234,87#3747#149#234
ولا اعتياد~87#3460#158#394
ولا اعرف~61#1705#18#192
ولا اعلم~45#1478#95#352,49#1521#94#381
ولا اعياء~64#1730#26#185
ولا اغلب~37#507#43#116
ولا افتراق~50#1529#81#110,50#1529#132#110,39#715#15#34
ولا افتقار~71#1822#55#131
ولا اقبالها~37#500#124#109
ولا اقتراب~82#2167#230#254
ولا اقرب~37#516#109#125
ولا اقصد~37#516#111#125
ولا اقل~60#1683#117#481
ولا اكتساب~82#2342#73#429,87#3982#57#469,90#4148#16#154
ولا اكثر~56#1592#224#95,56#1596#148#99,60#1683#121#481,67#1774#57#40,37#457#84#65,37#507#46#116
ولا اكمل~67#1763#63#29
ولا الآخرة~82#2418#120#53,26#330#15#19
ولا الأبصار~82#2589#200#224
ولا الأخذ~87#3903#25#390
ولا الأدب~87#3346#142#280
ولا الأسامي~82#1949#83#36
ولا الأعجمي~87#3870#271#357
ولا الأكل~87#3233#260#167,87#3234#398#168
ولا الأماني~82#2589#208#224
ولا الأمر~31#375#18#35
ولا الأموات~87#3242#397#176,87#3841#404#328
ولا الأنبياء~82#2255#55#342
ولا الإجبار~87#3941#194#428
ولا الإشارة~87#3622#271#109
ولا الإيمان~60#1647#22#445,82#1998#29#85,82#2595#87#230,87#3303#79#237
ولا الاساءن~67#1781#68#47
ولا الاستحقاق~87#3428#273#362
ولا الاستعتابمنه~87#3228#118#162
ولا الاسماع~82#2589#204#224
ولا الاشتغال~82#2459#31#94
ولا الاشتياق~87#3617#150#104
ولا الاعتراض~67#1758#21#24
ولا الالفة~51#1531#84#152
ولا الامطار~56#1573#168#76
ولا الاه~76#1861#23#225
ولا الاوقات~56#1573#106#76
ولا الباطن~82#2581#53#216,28#343#49#40
ولا البرد~56#1579#6#82
ولا البلوى~44#1419#72#23,87#3515#29#449
ولا البواعث~9#141#76#35,10#146#88#44
ولا التحذير~14#158#262#67
ولا التخويف~14#158#260#67
ولا التدين~87#3590#118#77
ولا التذاذ~41#1243#147#332
ولا الترغيب~14#158#264#67
ولا التكلم~82#2156#19#243
ولا التلذذ~38#655#70#120
ولا الثناء~82#2663#102#298
ولا الجاني~61#1693#52#168
ولا الجبار~90#4424#139#439
ولا الجنة~82#2235#247#322
ولا الجنيد~90#4077#121#83
ولا الجنيدوقال~90#4077#124#83
ولا الجهاد~87#3181#328#115,87#3181#334#115
ولا الحرف~85#2969#162#115
ولا الحلول~39#715#65#34
ولا الحياء~87#3622#267#109
ولا الخشية~37#500#158#109
ولا الخلق~39#806#96#127
ولا الخير~85#2878#91#24
ولا الذ~37#550#33#159
ولا الذين~87#3164#343#98
ولا الرحمة~87#3920#26#407
ولا الروح~82#2294#79#381
ولا الزائر~87#3617#147#104
ولا الزائل~39#810#103#131
ولا الزهد~87#3646#28#133,87#3646#131#133
ولا السابق~82#2529#185#164
ولا السرور~82#2694#15#329
ولا السلامة~82#2694#20#329
ولا السنوب~56#1573#102#76
ولا السوابق~90#4404#154#419
ولا السواد~71#1826#179#135
ولا السوط~87#3534#290#21
ولا السيئات~30#356#237#16
ولا السيئة~82#2584#132#219
ولا الشراب~82#2511#212#146
ولا الشك~30#368#307#28
ولا الشهور~56#1573#69#76
ولا الشيطان~58#1624#124#25,82#2348#136#435
ولا الصائم~87#3963#72#450
ولا الصبر~87#3912#193#399
ولا الصحابة~87#3347#144#281
ولا الصديق~56#1585#123#88
ولا الضالين~82#1953#23#40,82#1957#109#44,82#1957#120#44,82#1957#136#44,82#1957#150#44,82#1957#161#44,82#1957#174#44,82#1958#8#45,82#1958#26#45,82#1958#38#45,82#1958#48#45,87#3671#321#158
ولا الطعنةوثلاثة~84#2853#295#6
ولا الطوارق~90#4404#159#419
ولا العام~37#516#74#125
ولا العبد~90#4473#61#488
ولا العزبة~87#3940#129#427
ولا العزلة~39#715#63#34
ولا العقول~82#2589#196#224
ولا العلم~17#171#75#191,82#2740#112#375,32#380#167#116
ولا العلوم~87#3571#291#58
ولا العمال~56#1573#64#76
ولا الغازي~87#3963#69#450
ولا الغنى~90#4422#79#437
ولا الفاني~61#1693#50#168
ولا الفكر~82#2018#178#105
ولا القالب~90#4197#17#203
ولا القدرة~82#2504#75#139
ولا الكفر~82#2254#177#341
ولا الكون~87#3658#137#145
ولا اللحوق~82#2009#150#96
ولا المؤمن~82#1998#26#85
ولا المبين~3#88#17#213
ولا المتمانع~6#117#101#4
ولا المتيممون~87#3870#274#357
ولا المجالسسة~87#3832#329#319
ولا المجاورة~87#3542#32#29
ولا المحب~87#3617#153#104
ولا المحسوسات~56#1577#12#80
ولا المخالفات~82#2652#149#287
ولا المروءة~87#3896#127#383
ولا المسيء~56#1585#119#88,87#3133#34#67
ولا المشاهدة~87#3655#384#142,87#3656#102#143
ولا المشتاقين~87#3611#184#98
ولا المطرودين~82#1957#116#44
ولا المعاين~87#3542#35#29
ولا المعبود~87#3408#364#342
ولا المعترض~70#1813#144#60
ولا المعتوه~39#810#101#131
ولا المعنى~82#2670#188#305
ولا المقتصد~82#2529#183#164
ولا المكافأة~87#3527#149#14
ولا الملائكة~85#2879#42#25
ولا المهانين~82#1957#118#44
ولا المودة~87#3920#28#407
ولا الموعظة~37#529#41#138
ولا الميل~22#217#76#188
ولا الناس~60#1653#42#451
ولا النجار~37#526#136#135
ولا النذير~67#1765#144#31
ولا النصارى~30#365#67#25
ولا النصيحة~37#529#43#138
ولا النعيم~82#2656#254#291
ولا النفس~82#2294#85#381,39#780#134#99
ولا النهار~56#1573#56#76
ولا الهرب~22#215#29#186
ولا الوصول~67#1767#165#33
ولا الوقوف~41#1156#86#245
ولا الوله~87#3459#224#393
ولا امتراءقوله~82#2651#144#286
ولا امر~61#1690#5#162
ولا املك~82#2552#7#187
ولا انتظار~87#3520#158#7,87#3520#203#7
ولا انتهاء~61#1715#120#209,82#2629#61#264,32#393#142#129
ولا انسانية~67#1775#104#41
ولا انفصال~50#1529#83#110,50#1529#130#110
ولا انفصل~90#4188#56#194
ولا انفلت~82#2258#134#345
ولا انقضاء~82#2589#238#224
ولا انقطاع~87#3275#199#209,87#3654#393#141,87#3901#187#388
ولا انكره~45#1477#239#351
ولا اهتممت~41#1305#143#395
ولا اولى~37#559#60#168
ولا اين~35#418#39#213
ولا بأس~87#3818#239#305,87#3932#233#419,87#3942#93#429,87#3942#424#429,90#4384#187#399,41#948#172#37
ولا بأسفل~87#3850#266#337
ولا بأن~85#2961#169#107,39#809#84#130
ولا بأنك~85#2958#38#104
ولا بأهل~87#3705#199#192
ولا بأيام~82#2073#89#160,87#3308#327#242
ولا بإضاعة~44#1416#51#20,25#269#58#44
ولا باس~35#422#6#217
ولا باطل~41#1017#15#106
ولا باطلقال~90#4463#97#478
ولا باطن~2#24#81#22
ولا باطنة~2#62#73#60
ولا باطنك~82#2316#160#403
ولا باطنه~82#2344#13#431,90#4223#10#229
ولا باعوا~87#3976#11#463
ولا بالأحوال~86#3026#104#172
ولا بالإنبساطوقال~82#2353#181#440
ولا بالبلاغ~37#457#65#65
ولا بالتحلي~42#1339#211#4,53#1543#19#399
ولا بالتحلي،~43#1396#43#85
ولا بالتراكيب~60#1657#184#455
ولا بالتمني~60#1661#20#459,87#3244#338#178
ولا بالجهاد~87#3983#314#470
ولا بالحجاب~85#2984#73#130
ولا بالخلوة~7#130#8#19
ولا بالرضا~87#3590#126#77
ولا بالزوال~60#1657#195#455
ولا بالسماء~82#2362#100#449
ولا بالصلاة~87#3983#318#470
ولا بالصوم~87#3983#316#470
ولا بالعقل~37#457#59#65
ولا بالعمل~39#749#149#68
ولا بالقلوب~39#724#48#43
ولا بالقليل~60#1662#138#460
ولا بالكثير~60#1662#141#460
ولا بالمفصولة~85#2984#51#130
ولا بالموصولة~85#2984#57#130
ولا بالنهار~87#3137#49#71
ولا باليت~61#1704#182#191
ولا بانت~5#115#39#2
ولا بتصوير~39#718#161#37
ولا بتعجيمك~85#2980#158#126
ولا بتفصيلك~85#2980#162#126
ولا بتقرب~87#3653#1#140
ولا بتلقين~82#2327#15#414
ولا بتهذيب~87#3499#21#433
ولا بثوابه~37#452#42#60
ولا بجنس~87#3650#221#137
ولا بجهل~85#2943#106#89
ولا بجوز~50#1525#116#106
ولا بحاجزية~86#3007#9#153
ولا بحديث~85#2958#27#104,85#2958#33#104
ولا بحركته~32#390#158#126
ولا بحكمها~86#3072#50#218
ولا بخطيئتي~79#1887#113#10
ولا بخيانة~40#886#26#82
ولا بد~41#1057#159#146,41#1084#119#173,41#1189#142#278,41#1208#35#297,60#1667#73#465,82#2164#143#251,25#238#10#13,82#2510#233#145,25#280#112#55,84#2850#60#3,85#2898#64#44,87#3185#64#119,87#3235#72#169,87#3235#84#169,87#3235#96#169,87#3235#108#169,87#3235#132#169,87#3235#156#169,87#3375#55#309,87#3388#383#322,87#3413#298#347,87#3543#76#30,87#3629#424#116,87#3729#118#216,87#3871#242#358,87#3905#335#392,34#407#41#100,34#412#66#106,90#4122#55#128,90#4401#112#416,90#4422#155#437,90#4505#109#520,90#4563#40#578,37#526#17#135
ولا بدائمة~90#4181#65#187
ولا بداية~87#3073#13#7
ولا بدخلة~90#4297#268#303
ولا بدعائك~86#3052#152#198
ولا بدعة~82#2571#246#206
ولا بدله~90#4469#161#484
ولا بديل~60#1655#32#453
ولا بذكر~37#574#32#183
ولا بذكره~82#2414#39#49
ولا بذل~25#245#108#20
ولا بذي~39#715#34#34
ولا بر~39#815#17#136
ولا برؤية~86#3000#209#146
ولا براءة~90#4455#33#470
ولا براقة~87#3934#222#421
ولا بربه~90#4214#160#220
ولا برد~3#110#84#235
ولا برسوله~30#367#179#27
ولا برمت~9#143#100#37
ولا بسلطان~85#2955#192#101
ولا بسمعهقوله~82#2173#163#260
ولا بسوى~85#2889#82#35,85#2889#85#35,85#2889#88#35
ولا بشراوقد~87#3276#447#210
ولا بشهوتك~87#3257#104#191
ولا بشيء~82#2414#43#49
ولا بصحائفك~85#2980#145#126
ولا بصدقه~82#2414#41#49
ولا بصر~82#2229#240#316
ولا بصرقوله~82#2598#223#233
ولا بصيرة~87#3339#349#273
ولا بطريق~37#516#121#125
ولا بطريقه~1#13#59#93
ولا بطعن~29#346#11#42
ولا بطول~3#81#26#204
ولا بعت~87#3961#212#448
ولا بعد~82#2410#230#45,25#246#15#21,82#2589#217#224,82#2649#196#284,87#3284#57#218,87#3653#191#140,87#3657#77#144,87#3724#187#211,87#3863#322#350,87#3899#277#386,37#535#39#144
ولا بعده~87#3248#214#182
ولا بعدها~37#565#17#174
ولا بعدورأيت~90#4023#122#29
ولا بعرض~3#81#28#204
ولا بعظيم~3#94#39#219
ولا بعقد~87#3207#256#141
ولا بعلموقال~82#2209#171#296
ولا بعلوم~85#2958#30#104
ولا بعمل~86#3000#202#146
ولا بعيد~85#2925#117#71,87#3538#155#25
ولا بغرائب~37#457#62#65
ولا بغي~87#3273#124#207,87#3472#47#406
ولا بغية~87#3275#293#209,87#3603#381#90,87#3891#391#378
ولا بفاعل~32#386#235#122
ولا بفعل~87#3207#254#141,37#445#33#53
ولا بقاء~41#1198#132#287,82#2294#102#381,85#2933#107#79,87#3828#361#315,39#728#73#47
ولا بقاءمعنى~39#805#18#126
ولا بقهر~64#1729#93#184
ولا بقول~87#3363#386#297
ولا بكاء~85#2894#113#40
ولا بكثرة~37#457#55#65,37#494#15#103
ولا بكذب~40#886#24#82
ولا بكلام~90#4466#54#481
ولا بكم~82#2607#152#242,82#2607#186#242
ولا بلبس~44#1417#15#21,90#4234#67#240
ولا بلسانك~37#525#91#134
ولا بلطائف~3#100#167#225
ولا بلواحظ~55#1570#58#148
ولا بما~7#121#187#10,82#2590#40#225,85#2903#107#49,87#3954#131#441
ولا بمتنافس~87#3460#270#394
ولا بمحبة~87#3288#112#222
ولا بمحمول~39#730#95#49
ولا بمذهب~1#13#54#93
ولا بمعناك~85#2980#24#126
ولا بمعنى~85#2900#119#46,87#3738#185#225,39#803#126#124
ولا بموصوف~82#2312#141#399
ولا بناء~82#2385#55#20
ولا بنت~5#115#34#2
ولا بنعت~85#2875#238#21
ولا بنون~82#1992#209#79,87#3419#19#353
ولا بنيتك~86#3017#138#163
ولا به~9#140#84#34,82#2332#65#419,86#3007#57#153,86#3007#63#153,39#730#165#49
ولا بها~82#2212#108#299,82#2542#27#177,90#4345#199#360
ولا بهاتا~2#78#33#76
ولا بهذا~90#4029#50#35,39#820#12#141,41#948#81#37
ولا بهذه~40#886#28#82
ولا بهم~87#3358#160#292
ولا بوصف~17#172#33#192
ولا بوقفة~86#3000#216#146
ولا بول~87#3662#107#149
ولا بي~85#2897#113#43,87#3541#734#28
ولا بيان~87#3346#260#280,28#341#30#38,87#3658#27#145
ولا بيت~85#2893#91#39,85#2894#60#40
ولا بيضاء~39#777#77#96
ولا بيع~21#198#234#166,82#2200#187#287,82#2418#37#53,82#2418#137#53,82#2418#165#53,82#2418#215#53,87#3949#67#436,87#3950#115#437,39#705#7#24,39#707#98#26
ولا بين~56#1573#134#76,56#1594#46#97,87#3900#184#387
ولا بينك~85#2958#102#104,85#2958#106#104,85#2958#110#104,85#2958#114#104,85#2958#118#104,85#2958#122#104
ولا بينها~86#3004#60#150
ولا بينهم~87#3314#9#248
ولا بيني~86#3017#97#163
ولا تأتون~87#3352#140#286
ولا تأثيم~82#2645#97#280
ولا تأثيما~82#2665#238#300
ولا تأخذ~85#2914#27#60,87#3995#144#482,90#4040#219#46,41#964#67#53
ولا تأخذكم~82#2406#64#41
ولا تأخذن~38#676#4#153
ولا تأخذه~25#236#73#11,82#2681#221#316
ولا تأخذها~82#2156#134#243
ولا تأخير~25#274#68#49
ولا تأخيرها~87#3683#217#170
ولا تأديب~41#1186#197#275
ولا تأسى~87#3481#33#415
ولا تأكل~82#2137#79#224,87#3233#85#167,87#3233#314#167,87#3234#223#168,87#3234#452#168,87#3828#395#315,87#3828#401#315,87#3829#15#316,87#3993#157#480,38#675#38#152
ولا تأكلها~87#3898#2#385
ولا تأكلوا~87#3164#396#98,87#3948#398#435,87#3986#71#473
ولا تأمن~41#1162#70#251,25#240#48#15
ولا تأميل~87#3463#168#397
ولا تأنيب~40#850#24#46
ولا تؤتوا~82#2053#76#140,82#2053#113#140,87#3933#330#420
ولا تؤثر~41#1034#30#123,82#2582#230#217,82#2675#33#310
ولا تؤخرني~87#3091#127#25,87#3091#348#25
ولا تؤخرها~87#3949#424#436
ولا تؤمنوا~82#2015#88#102
ولا تاجر~76#1858#21#222
ولا تاخذه~39#715#43#34
ولا تاخر~50#1529#126#110
ولا تاكل~2#56#54#54
ولا تباعد~82#2167#228#254
ولا تبالى~2#59#45#57
ولا تبالي~87#3957#202#444
ولا تبتدع~85#2992#112#138,2#58#1#56
ولا تبتغي~37#522#56#131
ولا تبختر~82#2431#234#66
ولا تبد~38#668#46#140
ولا تبدل~87#3449#93#383
ولا تبدها~86#3014#90#160,90#4375#190#390
ولا تبدهن~87#3195#113#129
ولا تبديل~82#2040#261#127,87#3210#80#144
ولا تبديلقوله~82#2563#159#198
ولا تبديلوقال~82#2436#120#71
ولا تبذل~38#668#18#140
ولا تبرجن~87#3355#280#289
ولا تبرح~85#2929#105#75,25#309#95#84
ولا تبرزك~85#2926#156#72
ولا تبسطها~82#2299#202#386
ولا تبطله~37#458#30#66
ولا تبطلوا~82#2617#199#252,82#2617#213#252,87#3395#369#329,87#3764#239#251
ولا تبعثهم~16#169#47#108
ولا تبعد~82#2379#37#14
ولا تبغ~87#3946#195#433
ولا تبغض~41#1167#0#256,87#3436#278#370
ولا تبغضه~87#3519#13#6
ولا تبقى~82#2779#67#414,87#3282#195#216
ولا تبقي~90#4179#98#185
ولا تبقيهم~90#4179#89#185
ولا تبكى~77#1866#205#57
ولا تبلغ~82#2095#117#182
ولا تبلى~41#1087#51#176
ولا تبن~85#2898#8#44,87#3222#56#156
ولا تبنوا~87#3484#48#418
ولا تبيدان~39#737#31#56
ولا تبين~87#3603#152#90
ولا تتأتى~87#3306#81#240
ولا تتأخر~82#2646#274#281
ولا تتابعهم~87#3904#357#391
ولا تتباعدي~87#3934#140#421
ولا تتبدل~39#716#75#35
ولا تتبع~82#2550#134#185,82#2550#162#185,87#3293#187#227,87#3809#278#296,37#471#32#79
ولا تتبعان~87#3903#398#390
ولا تتبعه~86#3062#214#208
ولا تتبعوا~38#591#82#36
ولا تتبين~87#3248#258#182
ولا تتحدث~87#3711#66#198
ولا تتحرك~82#2506#83#141
ولا تتحير~83#2846#223#75,87#3264#76#198
ولا تتحيرين~86#3070#120#216
ولا تتخير~87#3811#108#298
ولا تترك~87#3226#64#160,87#3231#260#165,87#3310#332#244,87#3700#147#187,91#4604#4#36
ولا تتزيل~85#2984#236#130
ولا تتزين~87#3789#26#276
ولا تتسم~85#2991#136#137
ولا تتصدر~41#1252#101#341
ولا تتعرف~87#3872#241#359
ولا تتعلق~85#2971#92#117,85#2984#124#130
ولا تتعلم~85#2960#48#106,87#3238#360#172
ولا تتعلممخاطبة~86#3055#96#201
ولا تتغير~87#3802#103#289,32#384#52#120,39#716#72#35
ولا تتفاوت~87#3658#84#145
ولا تتفرقوا~30#352#1#12,31#375#260#35
ولا تتفق~64#1738#18#193
ولا تتفكر~41#1104#21#193
ولا تتكلم~87#3239#50#173,90#4047#148#53,90#4211#111#217,2#56#58#54
ولا تتكلمن~87#3204#371#138
ولا تتكلوا~87#3881#218#368
ولا تتم~25#232#107#7,82#2412#272#47
ولا تتماثل~39#718#10#37
ولا تتمنوا~82#2058#65#145
ولا تتناهى~82#2159#143#246,87#3654#335#141
ولا تتناوله~82#2687#188#322
ولا تتواطأ~64#1738#22#193
ولا تتوقع~87#3214#177#148
ولا تثبت~85#2877#136#23
ولا تثبطهم~16#169#42#108
ولا تثنية~87#3650#197#137
ولا تجادل~82#2072#135#159
ولا تجالس~87#3337#337#271,38#607#23#59
ولا تجاهل~40#859#84#55
ولا تجاوز~82#2301#39#388,38#668#51#140
ولا تجاوزوا~87#3397#94#331
ولا تجتمع~87#3214#10#148
ولا تجتهد~2#41#78#39
ولا تجد~82#2136#7#223,87#3407#128#341,32#389#48#125
ولا تجدني~85#2857#93#3
ولا تجدونهما~41#1037#56#126
ولا تجذبهم~87#3264#7#198
ولا تجردني~41#1026#27#115
ولا تجري~45#1480#115#354,87#3654#110#141
ولا تجزعي~41#1320#61#410
ولا تجزون~30#366#102#26,30#366#185#26,30#370#75#30
ولا تجسس~87#3208#307#142
ولا تجسسوا~82#2628#181#263
ولا تجعل~82#2299#196#386,82#2515#176#150,85#2859#71#5,85#2884#163#30,87#3087#455#21,87#3087#460#21,87#3208#429#142,87#3292#96#226,87#3408#163#342,87#3885#449#372,90#4542#73#557,38#615#9#76
ولا تجعلني~82#1944#192#31,87#3130#349#64
ولا تجعله~87#3816#185#303
ولا تجعلها~37#567#7#176
ولا تجعلوا~87#3159#303#93,87#3256#360#190
ولا تجفو~87#3135#278#69
ولا تجلس~87#3337#322#271,87#3833#276#320
ولا تجمعي~60#1674#117#472
ولا تجنها~9#142#201#36
ولا تجهل~85#2880#58#26
ولا تجى~76#1862#90#226
ولا تجيبني~90#4408#71#423
ولا تجيبوه~82#2625#103#260
ولا تجيز~85#2976#113#122
ولا تحاز~85#2863#101#9
ولا تحاسدوا~87#3886#91#373
ولا تحاملا~91#4633#19#65
ولا تحب~52#1538#292#52,87#3884#211#371,37#473#53#81,37#473#62#81
ولا تحبس~87#3829#35#316
ولا تحبهم~87#3590#75#77
ولا تحت~87#3832#167#319,35#420#112#215
ولا تحتجب~86#3021#38#167
ولا تحتمل~82#2100#289#187
ولا تحجب~82#2080#57#167
ولا تحجبه~39#715#73#34
ولا تحد~90#4471#54#486
ولا تحدث~82#2750#170#385,87#3585#63#72,39#831#46#152
ولا تحدثني~43#1383#61#64
ولا تحديد~87#3214#108#148
ولا تحزن~37#559#20#168,38#601#45#51
ولا تحزنوا~82#2034#26#121,82#2583#128#218,82#2583#197#218,85#2979#108#125,87#3384#286#318,87#3384#322#318
ولا تحزني~82#2465#45#100,82#2465#56#100,82#2466#112#101
ولا تحس~82#2348#138#435
ولا تحسب~85#2914#110#60
ولا تحسبن~82#2038#190#125,82#2261#207#348,82#2261#250#348,87#3643#144#130
ولا تحسدن~90#4283#114#289,38#670#14#143
ولا تحسسوا~87#3896#292#383
ولا تحسن~87#3441#190#375
ولا تحشمني~82#2443#26#78
ولا تحصد~87#3519#402#6
ولا تحصر~85#2863#104#9
ولا تحقد~79#1887#91#10
ولا تحقرن~87#3769#194#256,38#664#4#133
ولا تحقروا~87#3362#233#296
ولا تحكم~87#3884#287#371
ولا تحل~87#3770#196#257
ولا تحله~87#3649#293#136
ولا تحلولي~41#934#157#23
ولا تحمدن~90#4311#86#317
ولا تحمل~41#1095#169#184,25#248#103#23,85#2976#116#122,87#3093#408#27,87#3436#332#370
ولا تحملك~82#2480#97#115
ولا تحملنا~87#3683#419#170,87#3912#310#399
ولا تحملناما~87#3800#119#287
ولا تحمله~90#4040#11#46,90#4467#163#482
ولا تحويل~82#2278#156#365,87#3210#83#144
ولا تحويلقوله~82#2374#170#9
ولا تحيط~82#2794#194#429
ولا تحيى~81#1907#67#9
ولا تخاصم~82#2421#48#56
ولا تخاطبني~82#2231#76#318,85#2967#38#113
ولا تخاطبه~87#3460#32#394,38#668#55#140,40#927#61#123
ولا تخافي~82#2465#43#100,82#2466#110#101
ولا تخالط~87#3890#369#377,38#607#18#59,38#675#16#152
ولا تخالطن~44#1450#124#54
ولا تخالطه~39#716#55#35
ولا تخالف~82#2387#250#22
ولا تخالفه~82#2509#293#144
ولا تخالفهم~2#58#44#56,2#58#59#56
ولا تخبره~85#2958#51#104
ولا تختر~86#3053#30#199,2#44#32#42
ولا تختلف~64#1738#109#193,87#3088#421#22
ولا تخرج~82#2491#163#126,85#2916#167#62,85#2927#180#73,85#2945#104#91,85#2959#47#105,85#2967#152#113,86#3022#117#168,87#3976#404#463
ولا تخرجوهن~87#3932#191#419
ولا تخزنا~82#2047#214#134,87#3093#392#27
ولا تخزني~82#2443#10#78,82#2443#76#78
ولا تخسروا~87#3954#111#441
ولا تخش~46#1488#80#60,81#1928#71#30,25#269#105#44
ولا تخطر~85#2985#146#131
ولا تخطرهما~41#1274#55#363
ولا تخطو~82#2726#68#361
ولا تخف~82#2352#47#439,82#2352#179#439,82#2352#300#439,82#2353#140#440,82#2471#33#106,2#78#0#76
ولا تخفى~82#2627#239#262
ولا تخل~85#2929#171#75,87#3092#292#26
ولا تخلص~85#2972#163#118
ولا تخلطوا~87#3356#228#290
ولا تخلطوه~87#3317#337#251
ولا تخلو~44#1436#163#40,81#1936#35#39
ولا تخلية~82#2553#97#188
ولا تخير~87#3797#3#284
ولا تدابروا~87#3886#89#373,87#3896#296#383,40#882#31#78
ولا تدار~90#4173#23#179
ولا تداوله~39#715#46#34
ولا تدبر~87#3688#184#175
ولا تدبير~82#2690#76#325,36#425#31#329
ولا تدبيروقال~90#4293#76#299
ولا تدخر~87#3519#404#6,90#4334#115#349
ولا تدخرن~38#664#38#133
ولا تدخل~41#1113#113#202,44#1469#30#73,82#2383#62#18,85#2880#134#26,87#3482#9#416,87#3998#309#485,38#668#63#140,2#75#0#73
ولا تدخلن~87#3889#195#376,87#3936#140#423
ولا تدخله~85#2968#163#114,86#3027#175#173,87#3521#187#8
ولا تدخلوا~87#3493#193#427
ولا تدر~86#3069#77#215
ولا تدرك~85#2880#153#26
ولا تدركني~85#2857#99#3
ولا تدركه~39#715#76#34
ولا تدري~86#3067#204#213,30#350#105#10,39#787#31#106
ولا تدرين~87#3922#403#409
ولا تدع~1#12#48#92,82#2223#162#310,82#2495#258#130,82#2777#59#412,90#4329#153#343,91#4604#0#36,38#669#0#142
ولا تدعني~85#2909#39#55,85#2915#83#61
ولا تدعه~41#967#94#56
ولا تدعها~41#1174#38#263
ولا تدعوا~82#2579#196#214
ولا تدعوه~82#2421#210#56
ولا تدله~86#3062#17#208
ولا تديره~82#2348#151#435
ولا تذر~59#1642#70#40,86#3013#34#159,87#3817#257#304,90#4179#94#185
ولا تذرني~85#2972#13#118
ولا تذكر~82#2346#66#433,85#2977#128#123,87#3878#210#365
ولا تذكرني~85#2925#138#71,87#3418#229#352
ولا تذل~86#3033#141#179
ولا تذلنا~87#3206#120#140
ولا تذلها~82#2719#54#354
ولا تذمن~90#4311#94#317
ولا تذمه~87#3531#422#18
ولا تذهب~70#1807#98#54
ولا ترابثم~82#2281#170#368
ولا تراجع~86#3068#165#214
ولا ترام~85#2855#24#1
ولا تراني~85#2925#82#71,86#3036#136#182
ولا تراه~85#2901#28#47,87#3623#186#110
ولا ترتق~41#1109#107#198
ولا ترتيب~87#3724#185#211,32#387#14#123
ولا ترج~38#599#21#49
ولا ترجع~82#2286#171#373,82#2391#214#26
ولا ترد~82#2260#134#347,86#3025#147#171,87#3244#75#178,87#3367#329#301,87#3833#292#320,90#4314#41#320
ولا ترده~40#866#60#62
ولا تردهم~82#2114#24#201
ولا تردوا~87#3961#176#448
ولا ترض~38#664#45#133
ولا ترضى~41#1076#96#165
ولا ترفضها~87#3963#92#450
ولا ترفع~87#3130#342#64,40#927#57#123
ولا ترق~41#1064#9#153
ولا ترك~82#2404#79#39,25#296#134#71,39#764#106#83,39#808#199#129
ولا تركت~90#4438#180#453
ولا تركه~82#2429#234#64
ولا تركوا~87#3310#348#244
ولا تركيب~62#1721#81#73
ولا ترى~82#2274#143#361,82#2291#119#378,82#2775#141#410,90#4366#224#381,91#4629#43#61,37#543#123#152,37#548#65#157,2#57#85#55
ولا تريد~85#2875#155#21,87#3215#329#149,2#40#86#38
ولا تزاحمن~87#3711#87#198
