فتسامع بها~87#3682#280#169
فقوى إلى~87#3902#271#389
فقوى القلب~83#2814#209#43
فقوي عليه~7#123#217#12
فقويت النفس~87#3285#418#219
فقويت بها~87#3088#99#22
فقويت عليه~82#2232#153#319
فقيت بين~39#831#63#152
فقير أو~41#1322#179#412,41#1322#183#412,87#3503#39#437,87#3503#42#437
فقير إلا~25#264#58#39,87#3498#243#432
فقير إلى~82#2468#77#103,82#2468#137#103,82#2468#185#103,82#2469#82#104,37#583#113#192
فقير النفس~82#2766#99#401
فقير بما~82#2419#203#54
فقير فقال~90#4134#120#140
فقير في~82#2468#160#103,87#3690#402#177,87#3698#119#185,87#3851#134#338,90#4416#12#431,90#4416#52#431,90#4523#244#538
فقير لا~82#2192#87#279,87#3785#396#272,87#3915#27#402,90#4301#243#307,41#962#103#51
فقير من~85#2930#5#76,90#4424#28#439
فقير هو~87#3495#44#429
فقير وإن~41#973#25#62
فقير وقال~87#3823#276#310,90#4455#98#470
فقير وقد~87#3569#357#56
فقير ومن~82#2785#26#420
فقير يا~87#3837#37#324
فقير, ثم~90#4049#145#55
فقيرا عليه~90#4287#5#293,90#4378#172#393
فقيرا عن~82#2767#213#402
فقيرا فلا~87#3832#215#319
فقيرا فهو~87#3569#369#56
فقيرا في~87#3968#261#455
فقيرا كما~87#3503#381#437
فقيرا لا~25#260#24#35
فقيرا لم~82#2767#23#402
فقيرا من~41#1317#85#407,87#3909#47#396,87#3909#53#396
فقيرا وقال~87#3496#314#430
فقيرا ولا~41#1168#138#257,87#3503#243#437,87#3503#367#437,87#3504#120#438,87#3836#153#323,90#4366#74#381,90#4564#146#579
فقيرا ومن~90#4420#103#435
فقيرا، ولا~44#1443#96#47
فقيرة إلى~82#2766#92#401
فقيرة عند~41#941#24#30
فقيرة لما~80#1895#108#20
فقيرقوله عز~82#2419#234#54
فقيرلا شيء~87#3914#110#401
فقيض الله~82#2690#245#325
فقيضت له~87#3234#40#168,87#3234#619#168
فقيل إن~54#1552#94#58
فقيل في~87#3632#193#119
فقيل قد~87#3913#180#400
فقيل كان~90#4283#136#289
فقيل لم~90#4396#206#411
فقيل له~41#1000#156#89,41#1049#31#138,41#1113#129#202,41#1179#105#268,41#1202#61#291,41#1258#5#347,45#1472#29#346,53#1542#86#398,54#1549#48#55,82#1943#100#30,82#1992#34#79,82#2148#152#235,82#2179#81#266,82#2290#150#377,82#2294#211#381,82#2352#175#439,82#2387#146#22,25#242#106#17,82#2483#169#118,25#253#94#28,25#257#147#32,25#266#88#41,83#2810#209#39,25#288#30#63,87#3087#42#21,87#3087#70#21,87#3088#394#22,87#3137#251#71,87#3195#4#129,87#3211#45#145,87#3230#643#164,87#3238#240#172,87#3324#185#258,87#3329#164#263,87#3330#113#264,87#3330#129#264,87#3382#172#316,28#340#128#37,87#3434#311#368,87#3440#266#374,87#3454#159#388,87#3491#319#425,87#3494#81#428,87#3508#102#442,87#3508#393#442,87#3513#248#447,87#3538#55#25,87#3540#234#27,87#3542#109#29,87#3547#271#34,87#3547#293#34,87#3549#333#36,87#3549#430#36,87#3555#349#42,87#3568#284#55,87#3584#128#71,87#3615#84#102,87#3615#165#102,87#3615#169#102,87#3623#86#110,87#3681#4#168,87#3682#377#169,87#3700#49#187,87#3700#184#187,87#3715#157#202,87#3732#445#219,87#3745#24#232,87#3781#414#268,87#3789#160#276,87#3807#85#294,87#3824#142#311,87#3824#302#311,87#3831#123#318,87#3851#273#338,87#3851#309#338,87#3852#5#339,87#3861#77#348,87#3894#36#381,87#3935#187#422,87#3943#75#430,87#3946#393#433,87#3954#1#441,87#3956#195#443,87#3957#157#444,87#3958#223#445,87#3964#299#451,87#3992#209#479,87#3998#442#485,89#4003#156#40,90#4038#27#44,90#4041#34#47,90#4042#103#48,90#4044#41#50,90#4044#63#50,90#4044#192#50,90#4048#14#54,90#4052#119#58,90#4057#145#63,90#4074#15#80,90#4108#14#114,90#4207#84#213,90#4207#203#213,90#4216#187#222,90#4218#148#224,90#4224#136#230,90#4228#149#234,90#4230#229#236,90#4231#172#237,90#4232#15#238,90#4232#73#238,90#4232#109#238,90#4242#172#248,90#4244#20#250,90#4256#179#262,90#4280#54#286,90#4280#157#286,90#4297#122#303,90#4303#105#309,90#4309#23#315,90#4320#151#326,90#4321#138#327,90#4336#59#351,90#4339#98#354,90#4354#27#369,90#4360#209#375,90#4361#6#376,90#4367#210#382,90#4367#222#382,90#4368#0#383,90#4368#251#383,90#4376#138#391,90#4379#12#394,90#4383#60#398,90#4385#109#400,90#4389#170#404,90#4390#60#405,90#4393#64#408,90#4393#177#408,90#4393#219#408,90#4393#258#408,90#4394#111#409,90#4399#135#414,90#4410#78#425,90#4432#195#447,90#4451#36#466,90#4454#92#469,90#4454#144#469,90#4455#181#470,90#4460#156#475,90#4474#7#489,90#4482#214#497,90#4490#69#505,90#4504#202#519,90#4532#199#547,90#4546#205#561,90#4548#112#563,90#4548#173#563,90#4548#201#563,90#4549#6#564,90#4549#89#564,90#4549#157#564,90#4549#193#564,90#4549#247#564,90#4551#80#566,90#4551#102#566,90#4551#130#566,90#4552#119#567,90#4552#237#567,90#4553#28#568,90#4553#48#568,90#4553#140#568,90#4554#5#569,90#4554#30#569,90#4554#212#569,90#4555#140#570,90#4557#231#572,1#6#95#86,39#831#196#152,39#833#148#154,41#995#24#84
فقيل لهم~82#2591#128#226,90#4028#45#34
فقيل لي~46#1508#179#80,90#4287#74#293,90#4292#99#298,90#4337#69#352,90#4422#27#437,90#4550#145#565,90#4555#77#570
فقيل ما~82#2569#42#204,87#3437#372#371,90#4548#120#563,90#4551#61#566
فقيل من~82#2309#82#396,87#3846#368#333,87#3877#296#364,87#3946#404#433,90#4036#118#42,90#4043#105#49,90#4414#152#429
فقيل منه~87#3898#372#385
فقيل هذا~87#3511#264#445,87#3953#97#440,90#4320#192#326
فقيل هو~87#3556#230#43,87#3639#272#126
فقيل ولم~87#3757#71#244
فقيل وما~90#4320#164#326,90#4431#135#446
فقيل يا~46#1483#178#55,58#1606#158#7,58#1620#25#21,87#3321#276#255,87#3779#25#266
فقيلله يا~25#281#83#56
فقيه أهل~87#3501#408#435,87#3865#330#352
فقيه إلى~87#3328#293#262
فقيه القلب~87#3317#181#251
فقيه لم~87#3328#251#262
فقيها على~41#1059#1#148,41#1168#63#257,90#4072#25#78,90#4079#17#85
فقيها فقال~46#1505#84#77
فقيها فيه~87#3174#308#108,87#3177#397#111
فقيها من~90#4557#148#572
فقيها وكان~90#4101#18#107
فك من~39#793#74#112
فكأن الذي~85#2937#73#83
فكأن العبد~90#4161#75#167
فكأن كل~82#2349#74#436
فكأن من~82#2770#20#405
فكأن هذه~82#2035#57#122
فكأنك قد~85#2899#111#45,87#3933#314#420
فكأنك لم~85#2909#129#55
فكأنما عبد~87#3123#19#57
فكأنه إذا~90#4195#141#201
فكأنه بعد~87#3142#90#76
فكأنه على~87#3293#16#227
فكأنه قال~82#2020#183#107,87#3169#29#103,39#809#53#130
فكأنه قد~87#3402#336#336,87#3844#257#331,87#3933#361#420
فكأنه كان~87#3622#209#109,87#3911#332#398
فكأنه لم~82#2216#27#303,87#3488#334#422,87#3983#80#470,90#4375#270#390
فكأنه لما~87#3507#57#441
فكأنه من~87#3947#68#434
فكأنه يقول~44#1422#54#26,82#2175#237#262
فكأنه يكون~87#3941#271#428
فكأنهم في~90#4425#170#440
فكأنهم قد~87#3252#38#186
فكأين من~87#3162#279#96
فكأين هو~86#3023#52#169,86#3023#61#169,86#3023#69#169
فكاتبوهم إن~82#2409#173#44
فكاد أن~80#1899#175#24
فكافأتكأخبرنا علي~90#4286#158#292
فكافأه على~42#1345#5#10
فكافأهم على~82#2317#157#404
فكافئوه فإن~87#3694#130#181,87#3853#260#340
فكاكه من~37#528#130#137
فكان أبو~87#3320#300#254,87#3879#333#366
فكان أحمد~87#3353#324#287
فكان أهل~83#2847#36#76
فكان إذا~41#1015#73#104,41#1207#183#296,41#1262#43#351,46#1484#39#56,87#3213#93#147,87#3550#34#37,87#3953#279#440,87#3960#391#447,90#4360#68#375,90#4437#230#452,90#4457#44#472,90#4499#231#514,90#4499#249#514,90#4521#50#536,90#4523#144#538,90#4523#203#538,90#4523#227#538
فكان ابن~87#3189#270#123,87#3682#72#169,87#3762#84#249,87#3812#183#299,90#4324#261#330
فكان الحق~10#144#224#42,11#147#70#48
فكان العبد~87#3519#203#6
فكان الناس~87#3773#41#260
فكان النبي~87#3116#76#50
فكان بعد~82#2352#231#439,87#3337#23#271,87#3560#20#47
فكان بعضهم~87#3790#236#277,87#3819#227#306
فكان ثم~85#2960#122#106
فكان ذلك~7#131#29#20,41#1313#140#403,10#145#95#43,12#151#183#54,64#1736#22#191,82#2003#68#90,87#3194#359#128,87#3234#47#168,87#3234#626#168,87#3303#421#237,87#3333#121#267,87#3410#80#344,87#3421#30#355,87#3426#37#360,87#3455#138#389,87#3478#145#412,87#3605#10#92,87#3800#350#287,87#3827#330#314,39#752#30#71
فكان رسول~87#3131#176#65,87#3229#224#163,87#3853#123#340
فكان صلى~46#1495#144#67,87#3838#177#325
فكان عبد~43#1409#68#107
فكان علم~87#3293#122#227
فكان على~87#3258#299#192,87#3324#117#258
فكان علي~87#3560#91#47,87#3719#209#206
فكان عن~3#86#51#211
فكان عند~80#1889#106#14,82#2351#156#438
فكان في~54#1550#63#56,54#1550#192#56,59#1629#131#27,25#249#55#24,25#258#37#33,82#2649#227#284,25#285#38#60,87#3177#19#111,87#3178#223#112,28#341#45#38,87#3598#236#85,87#3795#142#282,87#3923#154#410,90#4046#29#52
فكان فيه~87#3906#245#393
فكان قوله~87#3502#371#436,87#3598#74#85
فكان كما~90#4375#237#390,90#4378#112#393,39#705#48#24
فكان لا~62#1722#135#74,25#253#91#28,87#3232#305#166,90#4379#187#394,90#4431#65#446,90#4445#307#460,90#4539#258#554
فكان لك~87#3935#286#422
فكان له~87#3919#292#406
فكان ما~8#135#205#26,9#142#9#36,10#146#155#44,64#1733#37#188,85#2985#61#131,90#4419#239#434,39#704#135#23
فكان مع~3#101#7#226,87#3412#158#346,87#3507#235#441
فكان من~87#3258#390#192,87#3271#300#205,87#3297#51#231,87#3489#86#423,87#3520#343#7,87#3809#211#296,87#3894#390#381,90#4408#273#423,39#809#217#130
فكان منه~87#3101#294#35
فكان منها~87#3843#449#330
فكان هذا~87#3117#185#51,87#3133#145#67,87#3141#237#75,87#3170#337#104,87#3173#59#107,87#3206#238#140,87#3208#184#142,87#3262#228#196,87#3293#12#227,87#3328#170#262,87#3344#137#278,87#3438#73#372,87#3484#309#418,87#3659#375#146,37#492#76#101
فكان هو~82#2204#194#291,86#3049#29#195,25#312#17#87,87#3275#74#209,87#3629#499#116,87#3643#287#130,87#3678#78#165
فكان يقول~60#1683#100#481,87#3283#102#217,87#3303#204#237,87#3404#30#338,87#3511#194#445,87#3540#403#27,87#3541#398#28,87#3549#232#36,87#3549#257#36,87#3560#171#47,87#3888#215#375,87#3892#292#379,87#3984#68#471,90#4107#69#113,90#4399#91#414,90#4453#244#468,90#4505#204#520
فكانت إذا~90#4379#207#394
فكانت الدنيا~87#3485#357#419,87#3485#372#419,87#3485#384#419
فكانت على~82#2419#165#54
فكانت فيه~87#3634#189#121
فكانت كل~87#3799#436#286
فكانت له~87#3834#193#321,87#3856#128#343
فكانت هذه~87#3180#229#114,87#3563#108#50,87#3853#60#340,87#3923#195#410
فكانتومنع بعضهم~39#719#152#38
فكانه لم~1#10#39#90
فكانوا إذا~87#3241#85#175
فكانوا على~60#1666#49#464
فكانوا في~11#148#61#49,59#1627#84#25,82#2705#34#340,82#2705#51#340,87#3213#206#147
فكانوا قد~90#4141#87#147
فكانوا كما~87#3159#280#93
فكانوا لا~60#1685#152#483
فكانوايستحبون أن~87#3999#165#486
فكبر عليه~90#4381#42#396
فكبر وقال~87#3499#167#433
فكبرت عليهم~90#4211#32#217
فكبره عليه~87#3887#136#374
فكت في~81#1921#90#23
فكتب أبو~90#4378#107#393
فكتب إلى~54#1550#238#56,90#4308#39#314
فكتب إليه~44#1415#45#19,52#1538#272#52,87#3299#252#233,87#3336#415#270,87#3461#346#395,87#3560#181#47,87#3749#278#236,87#3880#222#367,87#3893#265#380,87#3951#294#438,87#3952#23#439,87#3959#104#446,90#4173#0#179,90#4275#32#281,90#4308#5#314,90#4476#150#491
فكتب فيها~87#3523#386#10
فكتبت إلى~87#3345#8#279,90#4019#50#25
فكتبت إليه~87#3607#324#94
فكتبوا ذلك~90#4375#235#390
فكثيرا ما~82#2495#191#130,34#408#207#101
فكذب من~87#3806#198#293
فكذلك أنا~87#3247#3#181
فكذلك أي~87#3625#60#112
فكذلك إذا~87#3256#245#190,87#3318#159#252,90#4164#109#170
فكذلك الذي~83#2822#183#51
فكذلك القلب~83#2832#72#61,90#4178#161#184
فكذلك الناس~87#3155#104#89
فكذلك النفس~83#2833#79#62,87#3219#76#153
فكذلك تعالى~87#3581#423#68
فكذلك عز~87#3892#363#379
فكذلك على~87#3209#310#143
فكذلك قال~87#3262#306#196,87#3600#12#87
فكذلك كان~87#3185#425#119,87#3805#364#292,87#3921#113#408
فكذلك كل~20#191#63#156,87#3480#108#414
فكذلك لا~87#3481#3#415,30#361#164#21,87#3731#353#218,87#3850#177#337,90#4019#123#25
فكذلك لم~87#3481#233#415
فكذلك من~83#2827#27#56,87#3441#177#375,87#3503#170#437
فكر أو~87#3109#149#43
فكر في~87#3287#341#221,37#571#82#180
فكر من~87#3102#106#36
فكر وإن~86#3040#11#186
فكر ولا~32#385#10#121
فكرا أو~82#2658#126#293
فكرامتي فإن~86#3032#14#178
فكراهية النفس~37#539#74#148
فكرة أو~87#3213#164#147
فكرة في~82#2045#178#132,87#3327#116#261,87#3686#12#173,91#4586#13#18
فكرة وفي~26#330#106#19
فكرة ومن~50#1528#13#109
فكرت في~44#1415#66#19,87#3970#191#457,90#4302#106#308,90#4376#177#391,90#4441#51#456,37#571#48#180
فكرت فيه~62#1717#133#69,37#529#109#138
فكرتك أو~90#4084#66#90
فكرتك في~2#64#16#62
فكرته في~89#4006#10#43,89#4006#15#43,37#571#31#180,37#571#65#180
فكرك أو~41#1075#1#164
فكرك من~69#1792#127#7
فكرك ولا~85#2984#159#130
فكره أن~87#3820#37#307,87#3998#420#485
فكره ذلك~87#3833#326#320,87#3923#43#410,87#3972#208#459
فكره فقد~87#3823#137#310
فكره في~87#3687#336#174
فكره وقال~87#3972#137#459
فكره وهو~87#3574#93#61
فكرها ولا~90#4404#158#419
فكرهت أن~43#1360#84#31,87#3634#118#121,87#3908#18#395,87#3914#122#401,87#3964#170#451
فكرهت له~87#3234#31#168,87#3234#610#168
فكرهته ولا~90#4075#179#81
فكرهته وما~90#4331#179#345
فكرهم في~90#4249#198#255
فكرهنا أن~87#3220#26#154,87#3220#320#154
فكرهه وقال~87#3967#39#454
فكرهها وقال~87#3833#284#320
فكرهوا له~87#3540#313#27
فكسرة إن~87#3824#285#311
فكسرت منه~90#4232#155#238
فكسرته, قال~90#4041#146#47
فكشر بعضهم~87#3878#24#365
فكشف رسول~42#1350#162#15,45#1475#38#349
فكشف عن~87#3248#190#182
فكشف عنه~37#519#62#128
فكشف له~87#3727#7#214
فكشف لهم~85#2949#57#95,87#3567#283#54,87#3567#817#54
فكشف لي~90#4211#25#217
فكشف هذا~87#3488#143#422
فكشفنا ما~82#2378#42#13
فكشفه عنه~87#3164#232#98
فكفاك به~87#3788#130#275
فكفاه الله~25#263#42#38
فكفر عنه~25#253#79#28
فكففت عن~87#3744#73#231
فكفوا بعد~90#4523#42#538
فكفى أن~87#3466#262#400
فكل ذلك~58#1609#131#10
فكل شيء~64#1739#9#194,83#2813#36#42,83#2825#217#54,83#2847#47#76,86#3005#158#151,86#3058#51#204,87#3251#197#185,87#3587#223#74,87#3715#128#202
فكل عبد~87#3573#212#60
فكل علم~90#4462#106#477
فكل فقال~87#3634#92#121
فكل ما~44#1436#212#40,14#159#90#68,82#2634#181#269,83#2836#138#65,87#3358#392#292,87#3762#257#249,87#3848#281#335,90#4195#42#201,90#4195#69#201,37#455#117#63,38#655#57#120,38#657#52#122,41#978#35#67
فكل من~46#1500#239#72,60#1669#208#467,83#2805#202#34,83#2835#192#64,87#3823#264#310,87#3827#301#314,90#4156#89#162,90#4205#13#211,90#4371#102#386,90#4393#188#408,90#4399#81#414,90#4401#204#416,90#4500#4#515,90#4566#17#581,37#577#152#186
فكلم الله~90#4272#162#278
فكلما قال~85#2875#171#21
فكلما كان~44#1426#113#30,90#4421#9#436
فكلمه في~87#3792#328#279
فكلموه في~87#3970#248#457
فكله إلى~87#3209#8#143,87#3746#217#233
فكلهم قد~87#3271#135#205
فكلوا منها~82#2387#167#22,87#3697#10#184,87#3697#20#184,87#3796#160#283,87#3849#127#336
فكلوه إلى~87#3746#238#233
فكم بين~87#3262#324#196,87#3364#158#298,87#3621#346#108
فكم في~87#3583#10#70
فكم قد~82#2475#249#110
فكم من~3#108#12#233,7#119#199#8,76#1863#55#227,82#2677#143#312,83#2815#103#44,87#3262#409#196,87#3385#25#319,87#3410#320#344,87#3448#300#382,87#3805#384#292,90#4020#130#26,90#4250#0#256,90#4546#144#561,37#573#7#182,40#847#34#43
فكما أن~87#3155#158#89,87#3285#192#219,30#358#33#18,90#4153#8#159,90#4178#147#184,90#4463#138#478
فكما أنا~87#3211#393#145
فكما قال~87#3488#266#422,87#3814#351#301
فكما لا~63#1725#114#167,72#1842#105#160,30#361#159#21,87#3850#170#337
فكما لم~72#1845#107#163,82#2302#130#389
فكمن ذلك~39#840#79#161
فكن إلى~7#133#28#22
فكن بين~87#3358#184#292,87#3885#316#372
فكن عند~86#3046#101#192
فكن في~82#1949#177#36,86#3044#4#190
فكن له~87#3310#297#244,90#4358#78#373
فكن لهم~37#473#31#81,41#950#119#39
فكن لي~85#2911#13#57,87#3418#223#352
فكن مع~41#1223#33#312
فكن من~87#3418#195#352
فكنت أنا~87#3854#358#341
فكنت إذا~43#1409#78#107
فكنت به~85#2933#102#79,87#3518#256#5
فكنت عند~6#116#75#3,13#153#159#59,87#3454#382#388
فكنت في~13#154#95#60
فكنت فيها~82#2769#51#404
فكنت لهم~37#451#108#59
فكنت لي~86#3026#92#172
فكني عنه~87#3163#58#97
فكها من~90#4290#180#296
فكوشفوا به~87#3688#168#175
فكونوا لي~82#2590#7#225
فكونوا مع~87#3725#221#212
فكوني له~87#3934#130#421
فكيف إذا~71#1834#36#143,82#2061#46#148,82#2066#48#153,82#2259#184#346,82#2721#46#356,25#286#124#61,85#2956#145#102,87#3178#76#112
فكيف إلى~61#1692#24#167
فكيف إن~87#3976#215#463
فكيف الذي~37#468#143#76
فكيف به~87#3284#444#218,90#4498#163#513
فكيف بها~87#3610#146#97
فكيف ذلك~9#141#170#35,87#3786#207#273
فكيف على~85#2906#112#52,87#3569#110#56,90#4317#76#323
فكيف عن~90#4323#237#329
فكيف عند~90#4467#186#482,90#4568#167#583
فكيف فقال~90#4232#43#238
فكيف في~82#2067#81#154
فكيف كان~87#3458#149#392,90#4518#176#533
فكيف لا~50#1526#140#107,61#1695#14#172,82#2298#263#385,82#2359#34#446,87#3431#279#365,87#3523#203#10,87#3657#201#144,37#584#122#193
فكيف له~82#2153#196#240
فكيف لي~87#3495#299#429,39#823#42#144
فكيف ما~85#2905#147#51,87#3187#249#121
فكيف من~82#1992#175#79,82#1996#77#83
فكيف وقد~82#2406#51#41,41#944#109#33
فكيف وما~90#4389#30#404
فكيف وهو~87#3503#266#437
فكيف يكون~41#1069#81#158,70#1818#86#65,87#3431#114#365,87#3434#375#368,87#3458#195#392,87#3488#231#422,87#3515#71#449,87#3643#131#130,87#3643#136#130,87#3683#364#170,30#371#232#31,32#386#20#122,90#4051#195#57,90#4402#29#417,39#797#329#117
فكيلجة أو~87#3966#383#453
فلأجل ذلك~87#3590#46#77
فلأنظرن ما~37#519#59#128
فلأنفسكم لا~82#1993#143#80
فلأنفسهم وإن~82#2251#233#338
فلا '~82#2075#25#162
فلا 'قوله~82#2117#222#204
فلا آيس~82#2335#192#422
فلا أؤاخذه~41#1293#150#382
فلا أتزوج~87#3929#294#416
فلا أتزوجروينا~87#3929#246#416
فلا أجد~87#3158#42#92
فلا أجده~41#1200#174#289
فلا أجعل~86#3060#147#206
فلا أحاطة~86#3002#20#148
فلا أحب~87#3923#3#410
فلا أحجبك~85#2943#40#89
فلا أحد~41#1319#34#409,3#94#108#219
فلا أدرى~90#4343#122#358,37#472#19#80
فلا أدري~41#1115#64#204,41#1173#71#262,17#171#161#191,90#4154#14#160,39#839#107#160
فلا أدعه~87#3496#255#430
فلا أدعوك~85#2910#95#56
فلا أدناه~87#3998#204#485
فلا أرضاك~86#3010#142#156
فلا أرى~85#2930#40#76,87#3233#233#167,87#3234#371#168
فلا أرىوبإسناده~41#1099#74#188
فلا أريد~87#3787#93#274
فلا أزال~86#3041#79#187,90#4307#123#313
فلا أسام~86#3051#92#197
فلا أستجيز~39#822#50#143
فلا أسترد~86#3066#117#212
فلا أستره~85#2989#195#135
فلا أستعملها~87#3974#415#461
فلا أسلب~86#3066#111#212
فلا أسلمك~86#3022#169#168
فلا أصحبك~90#4518#128#533
فلا أظهره~86#3034#63#180
فلا أعدل~87#3919#44#406
فلا أعرف~86#3045#118#191,87#3583#193#70
فلا أعلم~87#3844#344#331
فلا أعوان~85#2919#9#65
فلا أغفره~85#2905#12#51
فلا أغلقه~85#2942#143#88,85#2967#119#113
فلا أغناه~87#3418#77#352
فلا أغيب~85#2895#115#41
فلا أقبل~90#4055#127#61,41#987#156#76
فلا أقسم~82#2667#31#302,82#2712#227#347,87#3104#226#38,87#3116#373#50,87#3159#214#93,87#3526#75#13
فلا أقل~90#4367#96#382,90#4500#30#515
فلا أقول~86#3049#129#195
فلا أكل~90#4520#252#535
فلا أكون~86#3045#121#191,39#801#124#122
فلا أمر~86#3043#168#189
فلا أملك~82#2172#150#259
فلا أمنعك~85#2967#128#113
فلا أميل~82#2155#197#242
فلا أنا~85#2894#58#40,85#2920#33#66
فلا أنام~86#3051#87#197,87#3140#313#74
فلا أنت~41#1200#43#289,85#2935#53#81,85#2975#79#121,86#3007#53#153,90#4308#196#314
فلا أنساب~82#2404#92#39
فلا أنكره~85#2989#201#135
فلا أنهاك~85#2910#103#56
فلا إخلاص~82#2559#111#194,82#2775#33#410
فلا إخوان~44#1469#40#73
فلا إذن~87#3897#144#384
فلا إعادة~87#3666#167#153,87#3670#232#157
فلا إله~87#3116#333#50
فلا إلي~86#3025#81#171
فلا إيمان~87#3730#31#217,90#4431#108#446
فلا ابتداء~32#393#139#129
فلا ادرى~54#1552#37#58
فلا استدلال~82#2230#30#317
فلا استكثر~87#3957#234#444
فلا اسم~41#1107#15#196,19#181#90#146,82#1941#38#28,24#228#39#138,85#2990#71#136
فلا اصدق~85#2986#15#132
فلا اعتصام~82#2139#58#226
فلا اعرف~37#507#37#116
فلا اقتحم~82#2760#185#395
فلا اقسم~82#2726#13#361
فلا الدلال~87#3952#3#439
فلا الدهر~39#798#200#119
فلا الستور~86#3002#37#148
فلا السر~82#2294#73#381
فلا العقل~82#2740#107#375
فلا العواقب~90#4404#149#419
فلا اللسان~85#2969#159#115
فلا الوصل~39#801#48#122
فلا انتعش~46#1498#163#70
فلا انتقش)135~44#1467#53#71
فلا بأس~87#3104#61#38,87#3185#303#119,87#3190#379#124,87#3192#254#126,87#3356#297#290,87#3356#338#290,87#3365#150#299,87#3662#129#149,87#3666#128#153,87#3692#83#179,87#3692#248#179,87#3699#139#186,87#3756#69#243,87#3793#259#280,87#3803#238#290,87#3808#314#295,87#3814#182#301,87#3817#144#304,87#3817#178#304,87#3818#46#305,87#3818#151#305,87#3818#363#305,87#3818#430#305,87#3823#410#310,87#3825#355#312,87#3832#184#319,87#3832#216#319,87#3837#225#324,87#3860#164#347,87#3866#325#353,87#3871#332#358,87#3926#405#413,87#3931#332#418,87#3942#141#429,87#3942#223#429,87#3943#213#430,87#3943#397#430,87#3955#231#442,87#3955#331#442,87#3955#349#442,87#3979#115#466,87#3979#328#466,90#4503#263#518,90#4507#90#522,90#4507#109#522,90#4566#178#581
فلا بأسوكتب~87#3818#379#305
فلا باس~67#1763#111#29
فلا بجوز~67#1774#6#40
فلا بحيوة~85#2945#71#91
فلا بد~50#1523#52#104,50#1523#71#104,50#1527#131#108,61#1703#131#190,25#305#119#80,87#3318#23#252,87#3377#111#311,87#3633#376#120,87#3662#33#149,32#385#158#121,32#388#154#124,87#3905#61#392,87#3905#328#392,32#393#8#129,32#393#34#129,32#393#84#129,32#393#105#129,32#394#50#130,32#395#57#131,87#3959#401#446,37#531#156#140
فلا بكاء~87#3458#62#392
فلا بنيتك~86#3004#76#150
فلا بورك~87#3217#193#151
فلا بيان~85#2971#153#117,85#2971#158#117,90#4240#137#246
فلا بين~86#3002#14#148
فلا تأخذ~87#3951#131#438
فلا تأخذك~86#3031#145#177,86#3031#152#177
فلا تأخذن~44#1454#185#58
فلا تأخذه~87#3959#127#446
فلا تأكل~87#3829#31#316
فلا تأملي~41#1313#131#403
فلا تؤاخذني~82#2059#165#146,30#354#23#14
فلا تؤثر~87#3474#156#408
فلا تؤخره~87#3951#267#438
فلا تؤذه~40#860#42#56
فلا تؤذهم~41#1056#117#145
فلا تبال~41#1209#122#298
فلا تبالي~86#3005#52#151
فلا تبايعهوحدثنا~87#3959#135#446
فلا تبتغ~85#2992#60#138
فلا تبدأه~41#1043#122#132
فلا تبطله~82#1982#206#69
فلا تبعة~87#3846#269#333
فلا تبغض~87#3875#388#362
فلا تبغوا~82#2059#131#146,87#3933#73#420
فلا تبق~87#3817#255#304
فلا تبقى~82#2005#148#92,82#2459#18#94
فلا تبلغ~87#3196#38#130,90#4508#35#523
فلا تبيعوا~41#1331#61#421
فلا تتابعه~87#3785#133#272
فلا تتبعني~61#1698#109#179
فلا تتبعه~87#3204#171#138
فلا تتحل~85#2925#136#71
فلا تتحلل~86#3058#40#204
فلا تتخم~87#3802#122#289
فلا تترك~2#43#13#41
فلا تتسم~85#2925#132#71
فلا تتصل~86#3051#51#197
فلا تتعب~82#2491#216#126
فلا تتعبوا~87#3561#416#48
فلا تتعبواوفيه~44#1426#74#30
فلا تتغير~90#4367#21#382
فلا تتملكها~87#3609#72#96
فلا تتوهم~78#1875#123#48
فلا تثبت~85#2973#37#119
فلا تجالسوه~87#3985#141#472,87#3985#168#472
فلا تجاهله~40#860#45#56
فلا تجاوز~41#1208#37#297,90#4122#57#128,90#4422#157#437
فلا تجاوزه~83#2811#50#40
فلا تجبه~86#3033#66#179
فلا تجحده~85#2925#86#71
فلا تجد~82#2247#235#334,85#2983#165#129
فلا تجزعن~87#3204#276#138
فلا تجعلني~87#3134#266#68,87#3164#266#98
فلا تجعلوا~87#3247#10#181
فلا تجلس~87#3334#57#268
فلا تجمع~41#1300#162#390
فلا تجمعوا~87#3484#43#418
فلا تجيبوه~87#3344#275#278
فلا تحب~37#473#40#81
فلا تحبوها~82#2676#64#311,87#3806#17#293
فلا تحتقروا~87#3413#35#347,87#3413#46#347,87#3413#58#347
فلا تحجبني~86#3051#75#197
فلا تحدث~87#3334#339#268
فلا تحدثهم~87#3826#11#313
فلا تحدثوهم~87#3433#135#367,87#3436#385#370
فلا تحرمنا~82#1950#87#37
فلا تحزن~77#1866#212#57
فلا تحزني~80#1902#86#27
فلا تحسبنهم~82#2046#113#133,82#2046#148#133
فلا تحضره~85#2950#60#96
فلا تحقرنهاقال~82#2081#22#168
فلا تحكم~85#2864#181#10,86#3072#43#218
فلا تحمل~87#3375#344#309
فلا تخاف~77#1865#109#56,77#1865#115#56
فلا تخافوهم~82#2039#94#126,82#2039#139#126,82#2040#42#127,87#3506#152#440
فلا تخالفه~82#2081#13#168
